,X,h,corr,obs,p,dist,avg_FP
137,137,5.377578996,0.377012543,727,1286,Normal,0.072127923
138,138,4.794707458,0.359813287,700,1010,T,0.027255714
139,139,5.128566995,0.50760654,743,972,Normal,0.062516824
140,140,4.909973898,0.518173478,688,1232,Lognormal,0.014380814
141,141,4.947402999,0.579659016,577,1070,T,0.035738302
142,142,5.485397798,0.566034347,794,667,Lognormal,0.002049118
143,143,4.6751832,0.598580765,966,567,Normal,0.051505176
144,144,5.39093607,0.62665088,775,403,T,0.010883871
145,145,4.979098073,0.372865269,929,546,Normal,0.064800861
146,146,5.394984605,0.309647404,951,925,Lognormal,0.001134595
147,147,4.763594936,0.377967597,881,806,T,0.025611805
148,148,4.050748104,0.526373543,944,940,Normal,0.098085805
149,149,4.332946448,0.4391925,933,1186,T,0.044541265
150,150,4.481433502,0.477131186,789,883,Lognormal,0.010230672
151,151,4.685292068,0.409397737,576,356,Normal,0.063253472
152,152,4.853772083,0.463876956,626,647,Lognormal,0.00327476
153,153,4.368054347,0.44821416,611,482,T,0.028376432
154,154,5.054390619,0.592875685,454,847,Lognormal,0.010605727
155,155,5.365686096,0.556471401,487,314,T,0.009034908
156,156,5.455335279,0.544564218,541,859,Normal,0.047360444
157,157,4.864331824,0.339499482,348,578,T,0.018405172
158,158,5.132808718,0.366306295,336,171,Normal,0.034988095
159,159,4.449206041,0.467811015,288,533,Lognormal,0.005864583
160,160,4.885489513,0.626173987,103,65,Lognormal,0.001038835
161,161,5.460169162,0.401529957,296,291,T,0.008067568
162,162,5.381659565,0.519002094,177,90,Normal,0.014135593
163,163,5.320169503,0.770418164,273,520,Normal,0.013384615
164,164,5.210375711,0.60579135,257,184,T,0.006801556
165,165,5.041222567,0.742182342,141,138,Lognormal,0.007205674
166,166,4.051664436,0.705236429,92,123,Normal,0.027652174
167,167,3.957457084,0.695716949,226,402,Lognormal,0.033721239
168,168,3.860666222,0.593777707,161,110,T,0.025273292
169,169,3.790411163,0.66873752,377,453,Lognormal,0.028323607
170,170,4.261992305,0.718828242,406,639,Normal,0.053253695
171,171,4.707014872,0.634658791,358,270,T,0.015379888
172,172,4.691081788,0.238053703,373,732,T,0.020058981
173,173,4.420775737,0.285206942,529,269,Normal,0.064517958
174,174,4.167479419,0.259523668,584,678,Lognormal,0.005988014
175,175,3.756297911,0.132915794,851,440,T,0.030909518
176,176,4.526145921,0.253137895,902,710,Normal,0.08552439
177,177,4.252122803,0.145955692,908,866,Lognormal,0.005325991
178,178,4.234461609,0.418159571,974,728,Lognormal,0.008276181
179,179,4.201863837,0.310717761,675,499,Normal,0.091561481
180,180,4.620521832,0.350445882,729,471,T,0.019737997
181,181,5.490804606,0.153654677,614,705,Lognormal,0.000423453
182,182,5.057656933,0.250082533,536,1005,T,0.018893657
183,183,5.442434648,0.105265517,566,321,Normal,0.016821555
184,184,5.346465936,0.273872235,329,629,Normal,0.059531915
185,185,5.193538239,0.10119387,443,556,T,0.009860045
186,186,4.827170729,0.21635495,510,457,Lognormal,0.001109804
187,187,5.274375761,0.268368817,800,488,Lognormal,0.00036
188,188,5.040704283,0.2896885,737,788,T,0.01772863
189,189,5.279905254,0.423196482,603,813,Normal,0.062764511
190,190,4.931854821,0.151969847,768,433,Normal,0.044042969
191,191,4.570370696,0.210329664,778,638,Lognormal,0.002627249
192,192,5.254789596,0.108747075,982,697,T,0.010378819
193,193,3.99409489,0.111742369,238,141,T,0.018798319
194,194,3.664371739,0.182080701,122,195,Lognormal,0.010131148
195,195,4.584392766,0.258523291,169,217,Normal,0.050704142
196,196,3.704019352,0.197309006,307,561,T,0.038127036
197,197,4.597389231,0.137490283,300,341,Normal,0.04043
198,198,4.295747257,0.157687912,456,477,Lognormal,0.003565789
199,199,5.327130525,0.143781911,94,177,T,0.005691489
200,200,5.246215052,0.218201215,212,306,Lognormal,0.000391509
201,201,5.5,0.1,50,50,Normal,0.00102
202,202,5.5,0.8,1000,500,T,0.009179
203,203,5.5,0.8,50,50,T,0.00088
204,204,5.5,0.8,1000,500,Normal,0.00563
205,205,5.5,0.1,1000,500,Lognormal,0.000403
206,206,5.5,0.1,50,50,Lognormal,0.00044
207,207,2.5,0.8,1000,500,Normal,0.132194
208,208,2.5,0.1,1000,500,T,0.090031
209,209,2.5,0.8,50,50,T,0.0705
210,210,5.5,0.1,1000,2000,Lognormal,0.001642
211,211,5.5,0.1,1000,2000,Lognormal,0.001642
212,212,2.5,0.1,1000,500,Normal,0.11742
213,213,2.5,0.1,1000,500,Normal,0.11742
214,214,2.5,0.8,1000,2000,T,0.183083
215,215,2.5,0.1,50,100,Normal,0.06364
216,216,5.5,0.8,1000,500,Normal,0.00563
